Tracking_ID	gene_id	gene	locus	BAP_log2(fold_change)	BAP_test_stat	BAP_p_value	BAP_q_value	BAP_significant	BaP500_Log2FC_0	BaP500_Log2FC_1	BaP500_Log2FC_2	BaP500_Log2FC_3
ENSG00000280145	ENSG00000280145	CH507-154B10.1	chr21:6630181-6670695	1.83185	0.844065	0.0051	0.0359908	yes	0.897130391	1.021811362	1.717859553	2.819143565
ENSG00000261353	ENSG00000261353	CTA-14H9.5	chr6:26527062-26527404	1.79951	1.93378	0.0008	0.0089782	yes	1.923773895	2.230600683	1.78291539	0.996710123
ENSG00000268205	ENSG00000268205	CTC-444N24.11	chr19:57304304-57308562	-0.522674	-1.56038	0.00195	0.017759	yes	-0.362499527	-0.16555951	-0.707029071	-0.993259202
ENSG00000266904	ENSG00000266904	CTC-559E9.1	chr19:19757365-19836073	2.6866	0.827739	0.0023	0.0200038	yes	2.948852068	2.928080205	3.008174046	1.247332272
ENSG00000272086	ENSG00000272086	CTD-2186M15.3	chr5:32174470-32175272	1.28875	1.56174	0.00535	0.0372703	yes	1.509596949	0.304524322	1.615824895	1.392558805
ENSG00000268912	ENSG00000268912	CTD-2619J13.17	chr19:58428631-58431148	1.0598	1.38543	0.00655	0.0432994	yes	1.117384406	0.64927891	1.433066273	0.926341843
ENSG00000267519	ENSG00000267519	CTD-3252C9.4	chr19:13834515-13836359	-1.92334	-3.50767	5.00E-05	0.000920822	yes	-1.62970664	-1.650864636	-2.009858124	-2.602358785
ENSG00000247400	ENSG00000247400	DNAJC3-AS1	chr13:95648732-95676925	1.78402	1.32533	0.001	0.0106629	yes	2.186701458	1.689447922	2.041395266	0.911515275
ENSG00000228223	ENSG00000228223	HCG11	chr6:26523449-26526579	1.18742	1.83147	0.0008	0.0089782	yes	1.353459744	1.343809755	1.126863392	0.87385518
ENSG00000267100	ENSG00000267100	ILF3-AS1	chr19:10651861-10653844	0.867336	1.45601	0.004	0.029983	yes	0.719647653	1.015268084	1.0328376	0.662730694
ENSG00000222041	ENSG00000222041	LINC00152	chr2:87439522-87606805	-1.00231	-1.53969	0.0011	0.0115288	yes	-0.771242136	-1.302805469	-1.334288435	-0.715585144
ENSG00000232931	ENSG00000232931	LINC00342	chr2:95807117-95816215	2.49651	4.41027	5.00E-05	0.000920822	yes	3.004670235	2.464599996	2.775779995	1.123366644
ENSG00000258791	ENSG00000258791	LINC00520	chr14:55781134-55796688	-1.73573	-1.84882	0.0005	0.00620361	yes	-1.873158192	-2.008093796	-2.787446742	-0.903449253
ENSG00000251191	ENSG00000251191	LINC00589	chr8:29673921-29748109	1.22279	1.85944	0.00055	0.00668866	yes	1.307229109	1.266999476	1.440442903	0.799576228
ENSG00000232677	ENSG00000232677	LINC00665	chr19:36313066-36331718	0.893665	1.47665	0.00165	0.0157274	yes	0.951001718	0.713623435	1.096106899	0.78295222
ENSG00000263753	ENSG00000263753	LINC00667	chr18:5232875-5246508	1.01843	2.05618	0.00025	0.00355878	yes	1.017268918	0.924959543	1.239301978	0.863393678
ENSG00000224914	ENSG00000224914	LINC00863	chr10:87342735-87370695	1.40782	1.91675	0.0006	0.00716698	yes	1.621353045	0.610095738	2.129295988	0.70962636
ENSG00000232229	ENSG00000232229	LINC00865	chr10:89829509-89840861	1.49284	1.92039	0.001	0.0106629	yes	1.188395185	1.279713956	1.941515516	1.438140328
ENSG00000235884	ENSG00000235884	LINC00941	chr12:30795680-30802711	-1.55948	-1.62755	0.0004	0.00515795	yes	-0.973000207	-1.503169707	-1.985191858	-2.045187046
ENSG00000251381	ENSG00000251381	LINC00958	chr11:12961841-12989548	-1.01384	-1.92631	0.00015	0.00239372	yes	-1.403647719	-0.925709361	-1.0794722	-0.729016154
ENSG00000245937	ENSG00000245937	LINC01184	chr5:127703389-128083172	0.766616	1.34987	0.00165	0.0157274	yes	0.429251712	0.785287645	0.775783612	1.016488201
ENSG00000261326	ENSG00000261326	LINC01355	chr1:23281308-23286752	1.08066	1.30885	0.00235	0.0203508	yes	1.372283724	0.906738304	1.578417236	0.014355274
ENSG00000180861	ENSG00000180861	LINC01559	chr12:13371088-13387167	1.65858	1.074	0.0079	0.0497968	yes	1.398831178	0.989099629	2.6024663	0.950936506
ENSG00000228526	ENSG00000228526	MIR34AHG	chr1:9148010-9196983	-0.667269	-1.29576	0.004	0.029983	yes	0.151455853	-0.685248708	-0.958907809	-1.879614655
ENSG00000226328	ENSG00000226328	NUP50-AS1	chr22:45133019-45163781	0.944202	1.38579	0.0039	0.0294999	yes	1.054672111	0.57483881	0.914427118	1.166673398
ENSG00000235823	ENSG00000235823	OLMALINC	chr10:100373614-100383368	1.90713	3.16187	5.00E-05	0.000920822	yes	2.051095896	1.467509384	2.445568894	1.403544068
ENSG00000253417	ENSG00000253417	RP11-109J4.1	chr5:160931777-160938626	2.22638	2.24946	0.00035	0.00464046	yes	2.274764709	1.89411116	2.22424862	2.456682804
ENSG00000269916	ENSG00000269916	RP11-193M21.1	chr12:85263543-85264457	1.79562	3.2179	5.00E-05	0.000920822	yes	1.439290303	2.232714147	2.128979651	1.070720593
ENSG00000272087	ENSG00000272087	RP11-379F4.7	chr3:158693119-158693768	1.34511	1.63621	0.0036	0.0279808	yes	1.585040668	1.107595463	1.588821772	0.999234277
ENSG00000237807	ENSG00000237807	RP11-400K9.4	chr8:53515169-53523931	2.2178	2.28583	0.00025	0.00355878	yes	2.402075328	1.368765427	2.849990087	1.819377831
ENSG00000277559	ENSG00000277559	RP11-434E6.4	chr16:54290964-54292422	1.70635	1.65215	0.00395	0.0297664	yes	1.993436655	1.273792662	2.491978361	0.039895526
ENSG00000253339	ENSG00000253339	RP11-434I12.3	chr8:73358912-73362788	1.4085	1.51512	0.0076	0.0484908	yes	1.442051099	2.12017796	0.623491102	1.009549632
ENSG00000228106	ENSG00000228106	RP11-452F19.3	chr1:222815021-223005995	1.89272	1.09307	0.0025	0.0212968	yes	1.656757728	1.75478183	2.276514017	1.799301253
ENSG00000269983	ENSG00000269983	RP11-497H16.9	chr5:70449635-70450353	1.28851	1.71263	0.0018	0.0167277	yes	0.996528301	2.068290446	1.067650502	0.571366411
ENSG00000273033	ENSG00000273033	RP11-67L2.2	chr3:122886940-122892416	1.14193	2.96312	5.00E-05	0.000920822	yes	1.564529657	0.800589245	1.344434723	0.667329307
ENSG00000274173	ENSG00000274173	RP4-568C11.4	chr20:24931839-24932983	0.69132	1.69509	0.00075	0.00853246	yes	0.558184739	0.888661159	1.022323764	0.142709136
ENSG00000230438	ENSG00000230438	SERPINB9P1	chr6:2854656-2881407	1.37167	1.41616	0.00795	0.049978	yes	1.680563708	0.778469714	1.596871744	1.266085908
ENSG00000227640	ENSG00000227640	SOX21-AS1	chr13:94712715-94716246	1.69744	3.24175	5.00E-05	0.000920822	yes	1.850717344	1.654790109	1.708155601	1.560722783
ENSG00000248508	ENSG00000248508	SRP14-AS1	chr15:40039310-40067290	1.9181	1.87649	0.00345	0.0270836	yes	1.599926791	1.744165183	2.499836138	1.622697984
ENSG00000130600	ENSG00000130600	H19	chr11:1995162-2001470	0.771556	1.50357	0.0033	0.0261534	yes	1.241201466	0.714771878	-0.257698117	0.990474716
ENSG00000203875	ENSG00000203875	SNHG5	chr6:85660949-85678736	-0.620745	-1.38992	0.00445	0.0325434	yes	-0.517065243	-0.904612738	-0.798764843	-0.333648105
ENSG00000280634	ENSG00000280634	THRIL	chr12:124993699-125031231	1.4373	1.72798	0.0014	0.0138304	yes	1.246547446	1.956588347	1.171861132	1.217456987
ENSG00000223573	ENSG00000223573	TINCR	chr19:5558166-5568034	-0.993429	-1.4251	0.0053	0.0369951	yes	-1.356345766	-1.754121492	-0.335105953	-0.91762085
ENSG00000240024	ENSG00000240024	LINC00888	chr3:183447607-183456013	1.47136	1.44437	0.0013	0.0129788	yes	1.094583138	1.443027997	1.738054193	1.536589524
ENSG00000282508	ENSG00000282508	LINC01002	chr19:197309-239440	-0.891499	-1.85078	0.0002	0.00299194	yes	-0.51674962	-0.699338657	-1.063098756	-1.462698771
ENSG00000228486	ENSG00000228486	LINC01125	chr2:97664216-97703064	0.756957	0.468925	0.00075	0.00853246	yes	1.434344705	0.39560343	0.59807365	0.296214032
ENSG00000260386	ENSG00000260386	LINC01225	chr1:31500084-31540885	1.8509	0.931882	0.0054	0.0375075	yes	2.440510807	0.436131644	2.797858391	-0.527815463
ENSG00000272888	ENSG00000272888	LINC01578	chr15:92882706-93028005	-0.859238	-1.53925	0.0034	0.0268254	yes	-1.111669254	-0.445633595	-0.797114452	-1.209378549
ENSG00000186205	ENSG00000186205	1-Mar	chr1:220786758-220819657	0.976264	1.13499	0.00465	0.0335366	yes	1.127516543	0.903723527	1.010293655	0.847526269
ENSG00000198060	ENSG00000198060	5-Mar	chr10:92291162-92353964	-0.710487	-1.5676	0.0021	0.0188692	yes	-0.411558955	-0.511178714	-1.396392189	-0.710477335
ENSG00000128274	ENSG00000128274	A4GALT	chr22:42692120-42721298	-0.913404	-1.81162	0.00035	0.00464046	yes	-0.737730325	-1.609037386	-0.952872622	-0.557196449
ENSG00000240602	ENSG00000240602	AADACP1	chr3:151733915-151928175	1.09025	1.24095	0.0037	0.0285379	yes	0.581951277	0.966338348	1.641536384	0.960295871
ENSG00000090861	ENSG00000090861	AARS	chr16:70252294-70289543	-0.659337	-1.72422	0.0002	0.00299194	yes	-0.427981898	-0.592307238	-1.139619543	-0.573005652
ENSG00000008311	ENSG00000008311	AASS	chr7:122075646-122144280	-0.774987	-1.74806	0.00025	0.00355878	yes	-0.948557264	-0.154977261	-0.794129456	-1.537084957
ENSG00000275700	ENSG00000275700	AATF	chr17:36948874-37056871	-0.597437	-1.36104	0.0074	0.0474077	yes	-0.519015127	-0.964570822	-0.703705658	-0.287298026
ENSG00000144452	ENSG00000144452	ABCA12	chr2:214810228-215138428	0.569026	1.63467	0.0013	0.0129788	yes	0.020725657	0.68265536	0.732981036	0.72461241
ENSG00000117528	ENSG00000117528	ABCD3	chr1:94418454-94518666	0.89504	2.58017	5.00E-05	0.000920822	yes	0.853150176	0.757036935	1.254465749	0.638214168
ENSG00000160179	ENSG00000160179	ABCG1	chr21:42199688-42297244	-0.985851	-1.95983	5.00E-05	0.000920822	yes	-0.864105928	-0.594177087	-1.28033695	-1.335678468
ENSG00000106077	ENSG00000106077	ABHD11	chr7:73736093-73738867	-1.36209	-2.70727	5.00E-05	0.000920822	yes	-1.235116489	-1.327137829	-1.539967119	-1.362838311
ENSG00000173210	ENSG00000173210	ABLIM3	chr5:149141482-149341802	-0.85696	-1.33987	0.0023	0.0200038	yes	-0.794100688	-0.825620951	-1.494110509	-0.489004103
ENSG00000146386	ENSG00000146386	ABRACL	chr6:139028681-139043302	0.588797	1.7083	0.00065	0.00761591	yes	0.492003793	0.769604312	0.345959399	0.708208042
ENSG00000005189	ENSG00000005189	AC004381.6	chr16:20610242-20925006	1.61009	0.502303	0.004	0.029983	yes	0.946317542	2.054298769	1.861228574	1.320368102
ENSG00000267056	ENSG00000267056	AC005336.4	chr19:15910581-15911824	1.53474	1.6868	0.00275	0.0227399	yes	2.405058787	1.559881032	0.166638224	1.151956792
ENSG00000240401	ENSG00000240401	AC012358.8	chr2:55282318-55419921	1.84636	0.488688	5.00E-05	0.000920822	yes	2.103890805	1.786155227	2.106729732	1.219650706
ENSG00000232032	ENSG00000232032	AC079781.7	chr7:97908255-97908424	inf	#NAME?	0.0057	0.039148	yes				
ENSG00000152117	ENSG00000152117	AC093838.4	chr2:131492812-131521573	-1.37928	-3.27896	5.00E-05	0.000920822	yes	-1.169838735	-0.864177414	-1.736581303	-2.036667486
ENSG00000244567	ENSG00000244567	AC096772.6	chr2:207821289-207822769	0.867406	1.53936	0.00275	0.0227399	yes	0.347435617	0.45786337	1.017093098	1.393901687
ENSG00000231259	ENSG00000231259	AC125232.1	chr2:87031814-87053069	-0.840838	-1.53312	0.0027	0.0225378	yes	-0.529148459	-0.967508612	-0.528101929	-1.575799301
ENSG00000183889	ENSG00000183889	AC138969.4	chr16:16310340-16350590	-0.879288	-1.14984	0.0061	0.0412525	yes	-0.648603628	-0.467204194	-1.177020772	-1.430447451
ENSG00000072778	ENSG00000072778	ACADVL	chr17:7189889-7225273	-1.09413	-2.69075	5.00E-05	0.000920822	yes	-0.690223408	-1.432980385	-1.12592716	-1.233303626
ENSG00000176244	ENSG00000176244	ACBD7	chr10:15077522-15088776	1.61214	1.70437	0.00025	0.00355878	yes	2.012250748	1.002186147	1.729201588	1.523858709
ENSG00000101473	ENSG00000101473	ACOT8	chr20:45833809-45857406	0.8251	1.308	0.0056	0.0386493	yes	0.67203292	0.622558256	1.401630506	0.391445951
ENSG00000183760	ENSG00000183760	ACP7	chr19:39083912-39111493	-1.73733	-1.46088	0.002	0.0181441	yes	-1.578342217	-2.967018362	-2.571686649	-0.814167798
ENSG00000014257	ENSG00000014257	ACPP	chr3:132317366-132368298	1.28204	0.904681	0.0061	0.0412525	yes	0.694323605	0.891596901	2.053064384	1.073180201
ENSG00000151726	ENSG00000151726	ACSL1	chr4:184755594-184826818	-0.697932	-1.64197	0.00045	0.00569852	yes	-0.880083086	-0.530579034	-0.639805195	-0.765108651
ENSG00000068366	ENSG00000068366	ACSL4	chrX:109623699-109733403	-0.47598	-1.16043	0.00335	0.0264605	yes	-0.834880563	-0.063818397	-0.890274638	-0.2879917
ENSG00000154930	ENSG00000154930	ACSS1	chr20:25006229-25058980	1.85379	3.14167	5.00E-05	0.000920822	yes	1.01497686	1.45260155	3.021252087	0.661144816
ENSG00000075624	ENSG00000075624	ACTB	chr7:5527150-5563784	-0.985208	-1.41343	0.0058	0.0396802	yes	-1.277982557	-1.324983761	-1.329095701	-0.302104913
ENSG00000072110	ENSG00000072110	ACTN1	chr14:68874142-68979440	-0.848443	-1.75437	0.00025	0.00355878	yes	-0.824748773	-1.155436825	-1.12784917	-0.414216672
ENSG00000115170	ENSG00000115170	ACVR1	chr2:157736443-157875862	-0.518091	-1.5109	0.00145	0.0142445	yes	-0.631425721	-0.212867696	-0.688082069	-0.59043167
ENSG00000135503	ENSG00000135503	ACVR1B	chr12:51951666-51997078	-0.722268	-1.75946	0.0001	0.00170374	yes	-0.725642916	-0.549136999	-0.779726827	-0.852182614
ENSG00000151694	ENSG00000151694	ADAM17	chr2:9473657-9555792	-0.526424	-1.31012	0.0061	0.0412525	yes	-0.489009134	-0.088276745	-1.244189895	-0.510888756
ENSG00000135074	ENSG00000135074	ADAM19	chr5:157260121-157575775	-1.6708	-1.74127	5.00E-05	0.000920822	yes	-1.818998434	-1.365580703	-1.992876785	-1.583877654
ENSG00000154734	ENSG00000154734	ADAMTS1	chr21:26835746-26845409	-1.64108	-1.89061	5.00E-05	0.000920822	yes	-1.648172898	-1.337126577	-1.805202109	-1.828943538
ENSG00000163050	ENSG00000163050	ADCK3	chr1:226897535-226987545	0.885764	1.55267	0.00065	0.00761591	yes	1.065267445	0.52585759	1.320954991	0.443927807
ENSG00000153292	ENSG00000153292	ADGRF1	chr6:46997702-47042363	0.923332	1.43976	0.0073	0.046959	yes	1.190833393	0.957056167	0.365807591	1.051835634
ENSG00000153294	ENSG00000153294	ADGRF4	chr6:47656435-47722021	-0.974097	-2.54147	5.00E-05	0.000920822	yes	-1.013418488	-0.854042342	-1.103820529	-0.936918398
ENSG00000248144	ENSG00000248144	ADH1C	chr4:99336491-99353027	1.16856	1.72824	0.0003	0.00412888	yes	1.099802546	0.60759641	1.142187946	1.640319845
ENSG00000196344	ENSG00000196344	ADH7	chr4:99412260-99435737	0.546922	1.36595	0.0054	0.0375075	yes	0.764703321	0.646411999	0.241860845	0.482386678
ENSG00000182551	ENSG00000182551	ADI1	chr2:3496955-3523197	0.673798	1.89944	5.00E-05	0.000920822	yes	0.642399564	0.416641613	0.885342188	0.712036638
ENSG00000148926	ENSG00000148926	ADM	chr11:10304679-10307397	-0.932651	-2.10658	5.00E-05	0.000920822	yes	-1.010409766	-0.957752827	-1.641443027	-0.388777424
ENSG00000169252	ENSG00000169252	ADRB2	chr5:148825244-148828687	-0.577429	-1.36775	0.00645	0.0428996	yes	-0.673952339	-0.27377876	-1.129017086	-0.378078609
ENSG00000173020	ENSG00000173020	ADRBK1	chr11:67266409-67286556	-1.19078	-1.73736	0.00055	0.00668866	yes	-0.964950479	-1.464114268	-1.693764071	-0.815037655
ENSG00000196526	ENSG00000196526	AFAP1	chr4:7754089-7940296	-0.887752	-1.713	0.00015	0.00239372	yes	-1.009809197	-0.830532561	-1.080471566	-0.666544302
ENSG00000157510	ENSG00000157510	AFAP1L1	chr5:149141482-149341802	-0.786963	-1.39489	0.0033	0.0261534	yes	-0.768503007	-0.711063787	-1.074484165	-0.631472756
ENSG00000172493	ENSG00000172493	AFF1	chr4:86876204-87141054	-1.08415	-1.24673	0.00015	0.00239372	yes	-1.410336424	-0.684139465	-1.125095426	-1.218912635
ENSG00000223959	ENSG00000223959	AFG3L1P	chr16:89972585-90002161	-0.727639	-1.39124	0.00285	0.0233886	yes	-0.297420872	-0.371626161	-1.044353235	-1.539149856
ENSG00000038002	ENSG00000038002	AGA	chr4:177430769-177442503	0.743961	1.46007	0.00165	0.0157274	yes	0.90361235	0.653598994	0.844778985	0.545234625
ENSG00000133612	ENSG00000133612	AGAP3	chr7:151085830-151144436	-0.85723	-1.43229	0.0028	0.0230992	yes	-0.804561673	-1.097593367	-0.425877736	-1.238454269
ENSG00000162688	ENSG00000162688	AGL	chr1:99850083-99924023	0.783699	1.63023	0.0001	0.00170374	yes	0.041379449	1.085283312	1.033400994	0.755689363
ENSG00000106541	ENSG00000106541	AGR2	chr7:16791810-16833433	0.833986	2.09913	5.00E-05	0.000920822	yes	1.142176074	0.257445339	1.115474321	0.642702879
ENSG00000173467	ENSG00000173467	AGR3	chr7:16859404-16881987	1.28197	2.99999	5.00E-05	0.000920822	yes	1.261930696	1.5502118	1.187153099	1.086109653
ENSG00000156709	ENSG00000156709	AIFM1	chrX:130129361-130165887	0.869528	1.5085	0.00165	0.0157274	yes	0.854729453	0.886303021	0.689827224	1.027383287
ENSG00000176092	ENSG00000176092	AIM1L	chr1:26321858-26354130	-1.30606	-1.68309	0.0004	0.00515795	yes	-1.245970222	-1.802113977	-1.256295233	-1.02709461
ENSG00000140057	ENSG00000140057	AK7	chr14:96392110-96489427	0.866711	1.78335	0.0009	0.00981167	yes	0.835623287	0.87977384	1.146506142	0.541532989
ENSG00000155085	ENSG00000155085	AK9	chr6:109487905-109691217	1.11818	2.11729	0.0001	0.00170374	yes	0.901562507	1.111422219	1.476180185	0.904694607
ENSG00000023516	ENSG00000023516	AKAP11	chr13:42272152-42323267	0.783673	2.30406	5.00E-05	0.000920822	yes	0.332237785	1.322086116	0.659906285	0.629290714
ENSG00000131016	ENSG00000131016	AKAP12	chr6:151239998-151358557	-1.91053	-4.28895	5.00E-05	0.000920822	yes	-2.193749699	-1.21081721	-3.534539662	-1.612303134
ENSG00000197976	ENSG00000197976	AKAP17A	chrX:1591592-1602514	-0.707595	-1.78143	0.0005	0.00620361	yes	-0.345550916	-0.696774832	-1.007201964	-0.868036783
ENSG00000241978	ENSG00000241978	AKAP2	chr9:109640787-110172512	-1.7747	-2.69049	5.00E-05	0.000920822	yes	-2.203335821	-1.495172319	-1.895469272	-1.606653543
ENSG00000166452	ENSG00000166452	AKIP1	chr11:8911138-8933006	0.95807	1.60933	0.00015	0.00239372	yes	0.917929828	0.846839371	0.988705215	1.069349944
ENSG00000135334	ENSG00000135334	AKIRIN2	chr6:87675071-87702209	-1.4854	-2.40999	5.00E-05	0.000920822	yes	-1.592951261	-1.025347298	-2.294834452	-1.314668404
ENSG00000198074	ENSG00000198074	AKR1B10	chr7:134527591-134541408	1.84435	4.18016	5.00E-05	0.000920822	yes	2.082093932	1.918814645	-0.131349114	2.442351631
ENSG00000117020	ENSG00000117020	AKT3	chr1:243256033-243851079	-1.54473	-1.35676	5.00E-05	0.000920822	yes	-1.937221258	-2.197214106	-1.367978897	-0.987290984
ENSG00000059573	ENSG00000059573	ALDH18A1	chr10:95605928-95656706	0.659226	1.54611	0.00155	0.0150178	yes	0.866617204	0.478064382	0.674007385	0.589948072
ENSG00000165092	ENSG00000165092	ALDH1A1	chr9:72900661-73080442	1.41934	4.14956	5.00E-05	0.000920822	yes	1.396745797	1.549954314	1.343931755	1.377914035
ENSG00000108602	ENSG00000108602	ALDH3A1	chr17:19737681-19748943	2.5102	5.76599	5.00E-05	0.000920822	yes	3.100280021	1.781821131	1.18422244	3.087650288
ENSG00000189366	ENSG00000189366	ALG1L	chr3:125916619-125937039	1.42331	2.3312	5.00E-05	0.000920822	yes	1.480724693	0.130121879	1.968066243	1.551031873
ENSG00000159063	ENSG00000159063	ALG8	chr11:78100935-78139660	0.87541	1.44014	0.0037	0.0285379	yes	0.797370953	0.876651258	1.07622097	0.72733276
ENSG00000116127	ENSG00000116127	ALMS1	chr2:73385757-73610793	0.685156	1.0686	0.00705	0.0457682	yes	0.190472891	0.805783572	1.017734162	0.601718601
