Tracking_ID	gene_id	gene	locus	BAP10_log2(fold_change)	BAP10_q_value	BAP10_significant	BaP10_Log2FC_0	BaP10_Log2FC_1	BaP10_Log2FC_2
ENSDARG00000016725	ENSDARG00000016725	GADD45G (2 of 3)	21:19542801-19544436	-0.812142	0.00461398	yes	-1.183410834	-0.298748435	-1.035890719
ENSDARG00000069559	ENSDARG00000069559	si:ch211-239f4.7	1:45576553-45591356	-0.925586	0.00461398	yes	-0.813520731	-1.001751901	-0.886161752
ENSDARG00000010462	ENSDARG00000010462	sp9	9:2590374-2592972	0.904417	0.00461398	yes	0.793009537	1.061643085	0.926922557
ENSDARG00000057726	ENSDARG00000057726	znf185	14:18508082-18543174	-1.16711	0.00461398	yes	-1.238915331	-1.059569502	-1.127042026
ENSDARG00000014927	ENSDARG00000014927	uts1	20:38749237-38752105	-1.49786	0.00461398	yes	-2.164925133	-1.438430481	-1.027768424
ENSDARG00000076844	ENSDARG00000076844	PLIN4	16:31025784-31064611	2.41501	0.00461398	yes	2.021561633	2.42546363	2.779410343
ENSDARG00000056130	ENSDARG00000056130	neurog1	14:27712428-27713928	-0.894186	0.00461398	yes	-0.7715953	-0.768210668	-1.083972346
ENSDARG00000044326	ENSDARG00000044326	BX950188.1	6:36243918-36248287	-1.60863	0.00461398	yes	-1.124903652	-1.636974129	-2.169092521
ENSDARG00000091996	ENSDARG00000091996	si:ch211-117m20.5	5:32253548-32254918	0.998971	0.00461398	yes	0.857681902	1.198979099	1.000399662
ENSDARG00000061100	ENSDARG00000061100	nars	21:1071551-1092450	-2.41622	0.00461398	yes	-2.556099166	-2.281513072	-2.343470154
ENSDARG00000036671	ENSDARG00000036671	tnni1al	25:20581542-20588410	-0.825673	0.00461398	yes	-0.952745764	-0.665466921	-0.792122066
ENSDARG00000088655	ENSDARG00000088655	CABZ01007794.1	7:2637135-2654723	-1.11654	0.00461398	yes	-1.177961025	-1.06248633	-1.03162479
ENSDARG00000052638	ENSDARG00000052638	FAM210B	6:59354086-59360578	-1.1399	0.00461398	yes	-1.031145947	-1.201396535	-1.11054076
ENSDARG00000035605	ENSDARG00000035605	tchp	5:21651121-21662580	-1.48711	0.00461398	yes	-1.4472506	-1.440795274	-1.492299155
ENSDARG00000087912	ENSDARG00000087912	FP016176.1	24:484782-490443	-0.801286	0.00461398	yes	-0.892661874	-0.802985117	-0.638395228
ENSDARG00000043485	ENSDARG00000043485	si:ch211-22i13.2	20:13918312-13927633	-0.989828	0.00461398	yes	-1.008358993	-0.92990961	-0.95097947
ENSDARG00000036044	ENSDARG00000036044	RPS20	7:59990937-59995522	-1.13963	0.00461398	yes	-1.110014301	-0.956931066	-1.289889576
ENSDARG00000030743	ENSDARG00000030743	sptlc3	13:35025203-35083413	-1.98386	0.00461398	yes	-2.128270459	-1.885688094	-1.870096639
ENSDARG00000006413	ENSDARG00000006413	RPL38	12:40099734-40104569	-0.830608	0.00461398	yes	-0.725668851	-0.689577359	-1.017395076
ENSDARG00000071292	ENSDARG00000071292	zgc:165653	12:49926444-49951727	-1.12762	0.00461398	yes	-1.204330962	-1.03834681	-1.064248673
ENSDARG00000053365	ENSDARG00000053365	RPL31	9:57952114-57958901	-0.875183	0.00461398	yes	-0.711617972	-0.679164676	-1.213514395
ENSDARG00000078865	ENSDARG00000078865	cxxc5	21:28257514-28314639	-1.36583	0.00461398	yes	-1.412585062	-1.379785298	-1.230283234
ENSDARG00000041394	ENSDARG00000041394	dnajb1b	1:56270007-56290011	0.747213	0.00461398	yes	0.724254881	0.903560547	0.685092553
ENSDARG00000011785	ENSDARG00000011785	tbx6	12:4593056-4603583	-1.14601	0.00461398	yes	-1.221291349	-1.237223766	-0.920227346
ENSDARG00000043008	ENSDARG00000043008	CABZ01118047.1	2:55139955-55151816	-0.795832	0.00461398	yes	-0.691352809	-0.840557097	-0.778214795
ENSDARG00000092945	ENSDARG00000092945	si:ch211-250g4.3	19:39058534-39068507	-1.04377	0.00461398	yes	-0.913222653	-1.066346966	-1.076367152
ENSDARG00000020978	ENSDARG00000020978	dhrs13a.2	10:38118057-38126716	1.09771	0.00461398	yes	1.452849059	1.149516493	0.665295141
ENSDARG00000062552	ENSDARG00000062552	lpar6a	15:3747498-3748572	-1.39038	0.00461398	yes	-1.527369888	-1.118996783	-1.478559132
ENSDARG00000018936	ENSDARG00000018936	zcchc17	19:44599862-44607251	-0.838136	0.00461398	yes	-0.780723398	-0.756666573	-0.89988079
ENSDARG00000026376	ENSDARG00000026376	aco1	7:75151087-75172476	1.18189	0.00461398	yes	1.213271762	1.20811287	1.205223214
ENSDARG00000076383	ENSDARG00000076383	ARHGEF5	16:19677194-19699399	-0.708372	0.00461398	yes	-0.581882737	-0.885578814	-0.596520309
ENSDARG00000027529	ENSDARG00000027529	hmox1	3:27017514-27023625	1.82855	0.00461398	yes	0.869929609	1.561504804	2.603508488
ENSDARG00000008372	ENSDARG00000008372	spred2b	13:5547708-5614099	-0.702369	0.00461398	yes	-0.639342055	-0.858813608	-0.545356878
ENSDARG00000037392	ENSDARG00000037392	med19a	14:23105467-23111983	-0.840792	0.00461398	yes	-1.012676987	-0.739198028	-0.707959166
ENSDARG00000052705	ENSDARG00000052705	pkp1	6:54666463-54709200	-0.874482	0.00461398	yes	-0.786864876	-0.93613351	-0.823829759
ENSDARG00000069298	ENSDARG00000069298	osbpl9	8:17135197-17193984	-1.5268	0.00461398	yes	-1.594920243	-1.460529837	-1.4478882
ENSDARG00000063062	ENSDARG00000063062	ubn2	6:7576390-7603409	-0.802999	0.00461398	yes	-0.707265682	-0.822316565	-0.800919873
ENSDARG00000031683	ENSDARG00000031683	fos	20:46803307-46805437	1.17658	0.00461398	yes	1.031934638	1.400547576	1.153943993
ENSDARG00000022013	ENSDARG00000022013	lama2	20:2011873-2024868	-3.67461	0.00461398	yes	-3.656208491	-3.552961936	-3.738716733
ENSDARG00000007982	ENSDARG00000007982	onecut1	18:37192311-37197560	-0.733087	0.00461398	yes	-0.791475933	-0.604538458	-0.728298156
ENSDARG00000011222	ENSDARG00000011222	ccdc28b	13:33505696-33517256	-1.02474	0.00461398	yes	-1.010945643	-1.343056197	-0.708407981
ENSDARG00000009472	ENSDARG00000009472	med19b	1:45037846-45046967	-1.26238	0.00461398	yes	-1.340918359	-1.152147751	-1.218663796
ENSDARG00000044016	ENSDARG00000044016	myo6a	20:739047-800528	-1.10885	0.00461398	yes	-1.064728661	-1.103750476	-1.076738507
ENSDARG00000046157	ENSDARG00000046157	RPS17	25:244028-248858	-0.915824	0.00461398	yes	-0.884314886	-0.755878856	-1.040438438
ENSDARG00000069904	ENSDARG00000069904	CABZ01071903.1	23:46212822-46278965	-1.5396	0.00461398	yes	-1.623953556	-1.439277881	-1.480697113
ENSDARG00000076177	ENSDARG00000076177	polr2a	12:23915881-23926807	-1.29081	0.00461398	yes	-1.29673984	-1.213772289	-1.281748875
ENSDARG00000055443	ENSDARG00000055443	zcchc7	1:20393122-20548992	-1.59281	0.00461398	yes	-1.37981046	-1.812606333	-1.53701393
ENSDARG00000052019	ENSDARG00000052019	si:ch73-109d9.1	1:44393991-44423718	-0.752884	0.00461398	yes	-0.713939537	-0.760961114	-0.702819472
ENSDARG00000043843	ENSDARG00000043843	akap7	20:2448525-2510462	-1.20837	0.00461398	yes	-0.989550599	-1.274730625	-1.300397794
ENSDARG00000070426	ENSDARG00000070426	chac1	20:28296498-28299069	0.79763	0.00461398	yes	0.890005514	0.758210513	0.822505833
ENSDARG00000019949	ENSDARG00000019949	hsp47	15:28732297-28736597	1.00609	0.00461398	yes	1.047641821	1.005560977	1.045700271
ENSDARG00000045141	ENSDARG00000045141	aqp8a.1	12:21718601-21725551	1.19457	0.00461398	yes	1.006392895	1.472218684	1.14646544
ENSDARG00000038985	ENSDARG00000038985	cdyl	2:24187297-24239708	-1.47589	0.00461398	yes	-1.270193548	-1.80368363	-1.329296988
ENSDARG00000040705	ENSDARG00000040705	glsb	9:42346273-42424366	1.33536	0.00461398	yes	1.59219387	1.49154905	0.91491464
ENSDARG00000053625	ENSDARG00000053625	anxa2b	7:30854905-30870509	1.31292	0.00461398	yes	1.248221019	1.442840479	1.321114574
ENSDARG00000025875	ENSDARG00000025875	KCTD2	12:28165114-28180378	-1.16624	0.00461398	yes	-1.180306599	-1.069443927	-1.169949784
ENSDARG00000075883	ENSDARG00000075883	bub3	12:50659370-50663709	-1.42483	0.00461398	yes	-1.40264948	-1.278132448	-1.522459829
ENSDARG00000060564	ENSDARG00000060564	slc25a21	17:38197844-38400539	-1.08819	0.00461398	yes	-1.003507985	-1.221720209	-0.97010462
ENSDARG00000086284	ENSDARG00000086284	KANSL1	19:20108089-20115593	-0.775089	0.00461398	yes	-0.787565991	-0.673966576	-0.785573318
ENSDARG00000045823	ENSDARG00000045823	CU041386.1	25:20230699-20237657	-0.988432	0.00461398	yes	-0.994191892	-1.068049679	-0.831801338
ENSDARG00000053592	ENSDARG00000053592	prdm1b	19:50139186-50153197	-0.79	0.00461398	yes	-0.707882001	-0.874396337	-0.712951497
ENSDARG00000075116	ENSDARG00000075116	sall2	2:37850518-37859580	-0.854919	0.00461398	yes	-0.841811706	-0.894264417	-0.751178901
ENSDARG00000037403	ENSDARG00000037403	hspa8l	15:18550717-18566719	1.36429	0.00461398	yes	1.392868977	1.621047615	1.114963074
ENSDARG00000055723	ENSDARG00000055723	hsp70l	8:5006698-5009452	1.071	0.00461398	yes	0.871845061	1.534641786	0.760911058
ENSDARG00000068436	ENSDARG00000068436	si:ch1073-429i10.3	15:46780325-46787157	-1.26261	0.00461398	yes	-1.216593024	-1.244097004	-1.245786913
ENSDARG00000025428	ENSDARG00000025428	socs3a	3:58237024-58239849	1.32471	0.00461398	yes	1.362279855	1.308771603	1.383409929
ENSDARG00000005867	ENSDARG00000005867	gon4l	16:31222896-31258953	-1.53024	0.00461398	yes	-1.435426135	-1.576168663	-1.500960672
ENSDARG00000053973	ENSDARG00000053973	fetub	22:40848396-40858664	-1.30694	0.00461398	yes	-1.341862117	-1.300315073	-1.200863562
ENSDARG00000045909	ENSDARG00000045909	dynlt1	4:96709-100717	-3.32436	0.00461398	yes	-3.499004469	-3.859734537	-2.757480371
ENSDARG00000077721	ENSDARG00000077721	C1H16orf88	1:55223064-55235466	-1.03804	0.00461398	yes	-0.932534299	-1.026748403	-1.077009194
ENSDARG00000045132	ENSDARG00000045132	vdac1	21:43897576-43917087	-0.838867	0.00461398	yes	-0.99820558	-0.703930806	-0.750447583
ENSDARG00000004754	ENSDARG00000004754	hspa4a	21:41543120-41583017	0.745815	0.00461398	yes	0.68347631	0.947818785	0.669898415
ENSDARG00000037421	ENSDARG00000037421	egr1	14:22333788-22337652	0.920844	0.00461398	yes	0.755910098	0.924876566	1.137342209
ENSDARG00000053020	ENSDARG00000053020	ppp2cb	10:6191317-6215881	-1.06859	0.00461398	yes	-1.072287627	-1.08193524	-0.972584033
ENSDARG00000005567	ENSDARG00000005567	map2k6	12:37501578-37551068	-0.718365	0.00461398	yes	-0.621115619	-0.708844366	-0.746686509
ENSDARG00000014594	ENSDARG00000014594	anxa1b	5:67531648-67546887	-1.34759	0.00461398	yes	-1.476138227	-1.504016049	-1.031519032
ENSDARG00000024746	ENSDARG00000024746	hsp90aa1.2	20:54322746-54336769	0.834976	0.00461398	yes	0.771986783	0.994223622	0.809961098
ENSDARG00000058606	ENSDARG00000058606	SIK1	9:9169114-9178227	1.01017	0.00461398	yes	0.930695614	1.01014474	1.160979639
ENSDARG00000036851	ENSDARG00000036851	MUC17	19:47005863-47012463	-1.47777	0.00461398	yes	-1.423010669	-1.565452484	-1.370158583
ENSDARG00000058556	ENSDARG00000058556	CR854881.1	25:8618068-8653224	1.75734	0.00461398	yes	1.834167849	1.973656264	1.507474596
ENSDARG00000027236	ENSDARG00000027236	rs1	11:31119809-31127552	1.23561	0.00461398	yes	1.208818148	1.33269104	1.24251732
ENSDARG00000087303	ENSDARG00000087303	cebpd	24:37059294-37061674	0.843616	0.00461398	yes	0.961273654	0.710965723	0.927127205
ENSDARG00000089354	ENSDARG00000089354	TSPAN4	18:49693082-49715240	-1.03269	0.00461398	yes	-0.829470411	-1.082835227	-1.122226177
ENSDARG00000090467	ENSDARG00000090467	CABZ01074130.1	Zv9_NA466:276-23564	-0.705629	0.00461398	yes	-0.671377644	-0.638835759	-0.727157196
ENSDARG00000089475	ENSDARG00000089475	hbae1	3:55972045-55972738	-1.73629	0.00461398	yes	-1.403303323	-2.259399125	-1.597497655
ENSDARG00000062460	ENSDARG00000062460	sgk3	24:24366457-24392649	1.09978	0.00461398	yes	1.158736293	1.007812583	1.207023201
ENSDARG00000075016	ENSDARG00000075016	APOB (3 of 3)	20:53790206-53820056	-0.813449	0.00461398	yes	-0.660326805	-0.929659329	-0.78227204
ENSDARG00000044861	ENSDARG00000044861	opn1lw2	11:26414604-26416765	1.61322	0.00461398	yes	1.60359976	1.455139799	1.835753223
ENSDARG00000051762	ENSDARG00000051762	DNAJA4	25:35458939-35466992	1.12565	0.00461398	yes	0.66039364	1.49521883	1.182550621
ENSDARG00000021405	ENSDARG00000021405	BX927371.1	7:21913973-21928485	-0.784982	0.00461398	yes	-0.734416783	-0.906053345	-0.64528847
ENSDARG00000070331	ENSDARG00000070331	CR854881.2	25:8564865-8607907	-1.2294	0.00461398	yes	-0.991201069	-1.393761332	-1.250908868
ENSDARG00000079302	ENSDARG00000079302	and2	2:31480048-31484497	-0.767262	0.00461398	yes	-0.82078412	-0.535983339	-0.888876482
ENSDARG00000056511	ENSDARG00000056511	arr3a	10:27435705-27446890	1.28137	0.00461398	yes	1.102484182	1.354716313	1.446357325
ENSDARG00000058263	ENSDARG00000058263	zgc:113279	15:16838035-16845832	1.36104	0.00461398	yes	1.391274981	1.328880396	1.441982823
ENSDARG00000012330	ENSDARG00000012330	mapre3b	4:553777-566494	-1.7369	0.00461398	yes	-1.93246352	-1.277713701	-2.046485453
ENSDARG00000091260	ENSDARG00000091260	MYLK4 (1 of 2)	2:427010-447851	0.921884	0.00461398	yes	1.076978899	0.66719428	1.066015623
ENSDARG00000036840	ENSDARG00000036840	krt15	11:11635466-11764765	-0.776126	0.00461398	yes	-0.748082964	-0.79121848	-0.709423029
ENSDARG00000062632	ENSDARG00000062632	duox	25:32936630-32997395	-1.64801	0.00461398	yes	-1.331424559	-1.979350804	-1.62394086
ENSDARG00000055752	ENSDARG00000055752	npas4a	14:31506583-31512448	2.23322	0.00461398	yes	2.139623027	2.471385548	2.144152631
ENSDARG00000030215	ENSDARG00000030215	matn1	19:45245319-45268900	0.700863	0.00461398	yes	0.539662493	0.803661472	0.822793476
ENSDARG00000068194	ENSDARG00000068194	klf9	5:27719778-27722714	1.90381	0.00461398	yes	2.491068198	0.921418919	1.971347987
ENSDARG00000028396	ENSDARG00000028396	fkbp5	6:41026921-41046917	2.18138	0.00461398	yes	2.503392047	1.774543684	2.255677338
ENSDARG00000055974	ENSDARG00000055974	TPMT (1 of 2)	19:49196460-49204831	1.18769	0.00841373	yes	0.96066217	1.473850146	1.162588011
ENSDARG00000007344	ENSDARG00000007344	tcap	3:21453654-21455521	0.781322	0.00841373	yes	0.95282991	0.361516768	1.023793378
ENSDARG00000053862	ENSDARG00000053862	crygmx	12:32525267-32528780	-1.52931	0.00841373	yes	-2.19091232	-1.187110287	-1.317329477
ENSDARG00000043728	ENSDARG00000043728	SREK1IP1	10:11360423-11363486	-0.931355	0.00841373	yes	-0.80373646	-0.978155058	-0.936305418
ENSDARG00000014914	ENSDARG00000014914	lamp2	14:34448789-34456576	-1.00863	0.00841373	yes	-0.896459606	-1.036296911	-1.015717767
ENSDARG00000021059	ENSDARG00000021059	alas1	11:246450-255897	0.671379	0.00841373	yes	0.76991467	0.761501656	0.553615063
ENSDARG00000043697	ENSDARG00000043697	nefm	8:7433110-7436536	-0.725631	0.00841373	yes	-0.78537924	-0.808576695	-0.519816644
ENSDARG00000015394	ENSDARG00000015394	thoc7	11:20023594-20031700	-0.711375	0.00841373	yes	-0.639932482	-0.415336991	-1.073114375
ENSDARG00000015221	ENSDARG00000015221	nsrp1	21:39238889-39249573	-1.09745	0.00841373	yes	-0.982748748	-1.190507638	-1.045571277
ENSDARG00000093702	ENSDARG00000093702	C23H1orf115 (2 of 2)	23:32172161-32179491	-0.858857	0.00841373	yes	-0.863471673	-0.916962668	-0.722001926
ENSDARG00000061896	ENSDARG00000061896	slco2a1	6:27332250-27373486	1.17475	0.00841373	yes	1.457567541	1.072351987	1.036363057
ENSDARG00000070651	ENSDARG00000070651	PRKCD (1 of 2)	11:18765416-18789668	0.746437	0.00841373	yes	0.745819116	0.746077572	0.826728423
ENSDARG00000076830	ENSDARG00000076830	si:dkey-65b12.6	5:43445481-43463692	-0.839042	0.00841373	yes	-0.795912592	-0.748266651	-0.896153967
ENSDARG00000009901	ENSDARG00000009901	SLC38A5 (2 of 2)	8:26468723-26478746	0.834151	0.0118645	yes	1.022564007	0.727383811	0.817087179
ENSDARG00000039499	ENSDARG00000039499	soul2	13:27263281-27267224	0.657511	0.0118645	yes	0.777947243	0.399873895	0.837482899
ENSDARG00000057853	ENSDARG00000057853	atp6v0ca	3:15664660-15675444	-0.770981	0.0118645	yes	-0.761255245	-0.678332458	-0.794510775
ENSDARG00000053370	ENSDARG00000053370	eif3jb	7:32760494-32766613	-1.83475	0.0118645	yes	-1.877916552	-1.737146217	-1.810913836
ENSDARG00000024575	ENSDARG00000024575	KIF26B (2 of 2)	20:35038753-35064852	-0.76449	0.0118645	yes	-0.782528448	-0.734968251	-0.696156663
ENSDARG00000086300	ENSDARG00000086300	FAM107A	11:4263737-4297681	1.00356	0.0118645	yes	0.950624342	0.992963049	1.140663227
ENSDARG00000039462	ENSDARG00000039462	CABZ01076094.1	19:4505332-4541542	-0.629947	0.0118645	yes	-0.60500957	-0.687506378	-0.521091774
ENSDARG00000012366	ENSDARG00000012366	fbp2	5:46432645-46448301	-0.776509	0.0118645	yes	-0.997126582	-0.534828154	-0.753621022
ENSDARG00000071219	ENSDARG00000071219	pik3r3a	2:3546015-3567452	0.78964	0.0118645	yes	0.967518537	0.596101078	0.861329049
ENSDARG00000003820	ENSDARG00000003820	nr1d2a	16:53625488-53636413	0.708812	0.0118645	yes	0.827529672	0.605135485	0.764490899
ENSDARG00000057338	ENSDARG00000057338	gstp2	4:29620555-29628421	2.12926	0.014733	yes	2.126200356	2.391892461	1.910449498
ENSDARG00000028096	ENSDARG00000028096	CLDN23 (1 of 2)	10:15075410-15077355	0.838542	0.014733	yes	0.780208746	1.023065269	0.779371233
ENSDARG00000025122	ENSDARG00000025122	abhd4	2:51748980-51760936	1.12463	0.014733	yes	1.033699954	1.413631897	0.965515525
ENSDARG00000077303	ENSDARG00000077303	zgc:174863	6:18728660-18736315	0.977718	0.014733	yes	0.844527388	1.226666291	0.913141923
ENSDARG00000090526	ENSDARG00000090526	PLEKHS1 (1 of 3)	12:32206782-32213077	2.18934	0.014733	yes	1.991800768	2.071648624	2.526192849
ENSDARG00000075923	ENSDARG00000075923	TXNRD2 (1 of 2)	5:17015505-17121381	1.27625	0.014733	yes	1.402004941	0.993766859	1.468604346
ENSDARG00000094760	ENSDARG00000094760	si:dkey-125i10.3	5:24925121-24934535	0.76623	0.014733	yes	0.871284205	0.629274481	0.865444866
ENSDARG00000000906	ENSDARG00000000906	skap2	16:23018782-23062136	-1.10062	0.014733	yes	-0.89901799	-0.773884946	-1.715918968
ENSDARG00000022652	ENSDARG00000022652	psmf1	6:51747114-51761914	1.07231	0.014733	yes	1.495712186	1.520547559	-0.430478354
ENSDARG00000017143	ENSDARG00000017143	brd9	16:56452411-56517756	-0.648384	0.014733	yes	-0.716146916	-0.595082885	-0.557777631
ENSDARG00000026892	ENSDARG00000026892	ccdc75	13:51211930-51223301	-0.757119	0.014733	yes	-0.817952598	-0.568584542	-0.818162346
ENSDARG00000035178	ENSDARG00000035178	gna14	5:56920831-56938275	0.802769	0.014733	yes	0.751198747	1.030119532	0.683491961
ENSDARG00000059177	ENSDARG00000059177	tax1bp3	11:6170781-6179720	0.703037	0.014733	yes	0.886482008	0.716176714	0.56894208
ENSDARG00000070950	ENSDARG00000070950	STYK1 (1 of 2)	19:10289516-10306044	1.53594	0.0174431	yes	1.504421895	1.396718844	1.762869249
ENSDARG00000062483	ENSDARG00000062483	lyve1b	18:16403480-16406850	-1.01057	0.0174431	yes	-1.020494133	-0.926061731	-1.005681867
ENSDARG00000016132	ENSDARG00000016132	keap1a	2:41936142-41962158	0.802292	0.0174431	yes	0.828146811	0.946143475	0.703754467
ENSDARG00000017444	ENSDARG00000017444	hal	25:8217758-8237825	1.7168	0.0174431	yes	1.485221534	1.86020101	1.855163812
ENSDARG00000068732	ENSDARG00000068732	spry4	21:43164026-43169541	0.643031	0.0174431	yes	0.517292024	0.644099131	0.831100747
ENSDARG00000031929	ENSDARG00000031929	stard10	14:34245372-34253070	1.05181	0.0174431	yes	0.693101877	1.365951582	1.099375574
ENSDARG00000070460	ENSDARG00000070460	grk4	1:11078674-11144910	-1.33393	0.0174431	yes	-1.181536122	-1.240369125	-1.520828559
ENSDARG00000093957	ENSDARG00000093957	si:dkey-251i10.2	5:70459513-70467862	0.619631	0.0174431	yes	0.341072497	0.876882039	0.672104508
